source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
cnn,CNN,"Evan Simko-Bednarski, CNN",Columbia University and its hospitals sued over doctor's sexual abuse,"Seventeen women are accusing Columbia University and the NewYork-Presbyterian hospital system of enabling a sexually abusive doctor over roughly 20 years of practice, according to a lawsuit filed Tuesday in New York Supreme Court. The doctor, Robert Hadden, p…",https://www.cnn.com/2018/12/07/health/columbia-sued-doctor-abuse/index.html,https://cdn.cnn.com/cnnnext/dam/assets/161115114714-columbia-university-nyc-file-super-tease.jpg,2018-12-07T19:09:58Z,"(CNN) Seventeen women are accusing Columbia University and the NewYork-Presbyterian hospital system of enabling a sexually abusive doctor over roughly 20 years of practice, according to a lawsuit filed Tuesday in New York Supreme Court. The doctor, Robert Had… [+3802 chars]"
cnn,CNN,"Susan Scutti, CNN",Most US adults have not gotten a flu shot for this mild season,"Most US adults have not gotten a flu shot this season, according to a new survey from NORC, a research organization at the University of Chicago.",https://www.cnn.com/2018/12/07/health/flu-season-vaccination-november-30-cdc/index.html,https://cdn.cnn.com/cnnnext/dam/assets/180209203223-epidemia-gripe-estados-unidos-muertes-invierno-vo-dusa-00002219-super-tease.jpg,2018-12-07T18:19:49Z,"(CNN) Most US adults have not gotten a flu shot this season, according to a new survey from NORC, a research organization at the University of Chicago. As of mid-November, only 43% of surveyed people 18 or older said they had gotten vaccinated against the flu… [+5666 chars]"
cnn,CNN,NA,Cooper: WH operating like 'business as usual' - CNN,"Cooper: WH operating like 'business as usual' CNN CNN's Anderson Cooper says while President Trump continues to minimize the role of Saudi Arabia in the death of journalist Jamal Khashoggi, several senators...",https://www.cnn.com/videos/politics/2018/12/07/anderson-cooper-senators-jamal-khashoggi-saudi-arabia-yemen-kth-ac360-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/181206210904-anderson-cooper-12-6-super-tease.jpg,2018-12-07T02:27:16Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
cnn,CNN,"Matthew Robinson, CNN",Extreme cold weather turns hot water into ice in China,"Rare ice fog gripped the Chinese city of Mohe in the north of the country after temperatures plunged to a bitter -43.5C on December 6, according to Chinese media.",https://www.cnn.com/2018/12/07/asia/ice-fog-china-mohe-weather-intl-scli/index.html,https://cdn.cnn.com/cnnnext/dam/assets/181206113544-01-mohe-1202-super-tease.jpg,2018-12-07T09:34:16Z,NA
cnn,CNN,"Matthew Robinson, CNN",What's going on with Hawaiian seals? Nobody nose,Endangered seals are baffling conservationists with an unlikely predicament -- getting eels stuck up their noses.,https://www.cnn.com/2018/12/07/americas/seals-eels-nostril-hawaii-intl-scli/index.html,https://cdn.cnn.com/cnnnext/dam/assets/181207085618-seals-hawaii-eels-super-tease.jpg,2018-12-07T12:18:01Z,NA
cnn,CNN,"Steven Jiang and David Allan, CNN",China sends rover to far side of the moon,"China is poised to become the first country in the world to explore the far side of the moon with the launch of a lunar rover Saturday, another step closer to its goal of becoming a space superpower.",https://www.cnn.com/2018/12/07/asia/china-lunar-rover-far-moon-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/181207145450-china-lunar-rover-super-tease.jpg,2018-12-07T19:43:54Z,NA
bbc-news,BBC News,https://www.facebook.com/bbcnews,Oscars 2019: Kevin Hart quits as host amid tweets row,The US actor and comedian was embroiled in a controversy over homophobic comments.,https://www.bbc.co.uk/news/entertainment-arts-46479017,https://ichef.bbci.co.uk/news/1024/branded_news/100C0/production/_104682756_050999452-1.jpg,2018-12-07T05:29:25Z,"Image copyright AFP Image caption Kevin Hart: ""I sincerely apologise to the LGBTQ community"" US comedian and actor Kevin Hart says he has stepped down from hosting the 2019 Oscars following a controversy over homophobic tweets. He said he did not want to be a… [+1145 chars]"
bbc-news,BBC News,NA,Advent calendar 2018: The iconic touchdown from Philadelphia Eagles' Super Bowl win,"Watch the iconic touchdown ""that will be shown a billion times"" from the Philadelphia Eagles' first Super Bowl win.",https://www.bbc.co.uk/sport/av/american-football/46363581,https://m.files.bbci.co.uk/modules/bbc-morph-sport-page/2.5.8/images/bbc-sport-logo.png,2018-12-07T06:19:37Z,"Watch the iconic touchdown ""that will be shown a billion times"" from the Philadelphia Eagles' first Super Bowl win against the New England Patriots. Available to UK users only."
bbc-news,BBC News,NA,NFL: Derrick Henry has gigantic night for the Tennessee Titans,Derrick Henry runs for a franchise record 238 yards and four touchdowns including a brilliant 99-yard score to help the Tennessee Titans beat the Jacksonville Jaguars 30-9.,https://www.bbc.co.uk/sport/av/american-football/46481007,https://m.files.bbci.co.uk/modules/bbc-morph-sport-page/2.5.8/images/bbc-sport-logo.png,2018-12-07T09:36:57Z,Derrick Henry runs for a franchise record 238 yards and four touchdowns including a brilliant 99-yard score to help the Tennessee Titans beat the Jacksonville Jaguars 30-9. WATCH MORE: Advent calendar: Eagles win Super Bowl with iconic touchdown Watch The NFL… [+92 chars]
bbc-news,BBC News,NA,O'Sullivan not fearful after Hearn says 'enough is enough',"Ronnie O'Sullivan says he is not fearful of sanctions from World Snooker after being warned by chairman Barry Hearn ""enough is enough"".",https://www.bbc.co.uk/sport/snooker/46490109,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/1566B/production/_104695678_o'sullivan_2_pa.jpg,2018-12-07T20:01:11Z,"Media playback is not supported on this device Ronnie O'Sullivan cruises through to semi-finals - best shots Betway UK Championship Venue: York Barbican Dates: 27 November-9 December Coverage: Watch live across BBC Two, BBC iPlayer, BBC Red Button, Connected … [+5907 chars]"
